symbol,model,scope,n_train,fallback_share,n,auc,brier,log_loss,accuracy,base_rate
SIRI,logistic_imbalance,common,233393,0.3572778827977316,26311,0.6623047937022247,0.2364125749582725,0.6650909676751176,0.5791874121090038,0.7082589031203679
SIRI,logistic_queues,all,233393,0.3572778827977316,93385,0.7158842948679779,0.2202904545345548,0.6331859845329462,0.670782245542646,0.5389088183327087
SIRI,logistic_queues,common,233393,0.3572778827977316,26311,0.6868566464204355,0.24435424208039244,0.6818112196556178,0.5644787351297936,0.7082589031203679
SIRI,logistic_all,all,233393,0.3572778827977316,93385,0.6953983329280656,0.22659354971835924,0.6408978087355507,0.590801520586818,0.5389088183327087
SIRI,logistic_all,common,233393,0.3572778827977316,26311,0.7398263422292126,0.24725223723760673,0.6886882036762314,0.5649348181369009,0.7082589031203679
SIRI,boosted_queues,all,233393,0.3572778827977316,93385,0.5877029176813323,0.26914342676827097,0.7592360425885085,0.5432671199871499,0.5389088183327087
SIRI,boosted_queues,common,233393,0.3572778827977316,26311,0.6461140924367387,0.27322949393066875,0.7553013399472723,0.48280186994032914,0.7082589031203679
SIRI,boosted_all,all,233393,0.3572778827977316,93385,0.6858154871345219,0.28863406198674385,1.0376619696811935,0.621373882315147,0.5389088183327087
SIRI,boosted_all,common,233393,0.3572778827977316,26311,0.6416030619203025,0.3552289680315171,1.3860656146129262,0.5365056440272129,0.7082589031203679
TSLA,analytic,common,233992,0.8903591682419659,32706,0.5404829536248341,0.28389294362099227,0.8022690335049079,0.510548523206751,0.5436311380174892
TSLA,logistic_imbalance,all,233992,0.8903591682419659,93598,0.5526269167804174,0.2485048186599945,0.6901621098881536,0.5343169725848843,0.5419667086903567
TSLA,logistic_imbalance,common,233992,0.8903591682419659,32706,0.5420153729527611,0.24911384766562095,0.6913738919832705,0.5166024582645387,0.5436311380174892
TSLA,logistic_queues,all,233992,0.8903591682419659,93598,0.5566777439091751,0.24823261162901808,0.6896249648685766,0.534552020342315,0.5419667086903567
TSLA,logistic_queues,common,233992,0.8903591682419659,32706,0.5420087184515978,0.24869658340774478,0.6905409091380321,0.5206995658288999,0.5436311380174892
TSLA,logistic_all,all,233992,0.8903591682419659,93598,0.5574547129729189,0.2514011492381361,0.6973820955315835,0.5261971409645505,0.5419667086903567
TSLA,logistic_all,common,233992,0.8903591682419659,32706,0.5382950602801342,0.25229407351179145,0.6985872451168693,0.5093560814529444,0.5436311380174892
TSLA,boosted_queues,all,233992,0.8903591682419659,93598,0.5456054689431376,0.250995750882185,0.6954954964664447,0.5243167589051048,0.5419667086903567
TSLA,boosted_queues,common,233992,0.8903591682419659,32706,0.5196750105168249,0.2521192942737373,0.6976568431833232,0.5072463768115942,0.5436311380174892
TSLA,boosted_all,all,233992,0.8903591682419659,93598,0.5516202606124859,0.2540607609898475,0.702049611972521,0.5201393192162226,0.5419667086903567
TSLA,boosted_all,common,233992,0.8903591682419659,32706,0.5359803169200527,0.25634328005596585,0.7065251523931606,0.5037607778389286,0.5436311380174892
